peak_n,peak_n1
56.676862016322566,57.11139142346375
57.11139142346375,57.329003674662495
57.329003674662495,59.67063104350758
59.67063104350758,57.179002059246564
57.179002059246564,55.24778496576555
55.24778496576555,56.3739639236441
56.3739639236441,57.474338743429904
57.474338743429904,55.14088432860305
55.14088432860305,55.06995300869079
55.06995300869079,57.0834265935898
57.0834265935898,55.24458466672664
55.24458466672664,57.12142395053724
57.12142395053724,59.74307363730414
59.74307363730414,61.69378263778295
61.69378263778295,60.29599436441669
60.29599436441669,56.549186183887116
56.549186183887116,55.08300604542052
55.08300604542052,57.39954056301562
57.39954056301562,58.74185834561348
58.74185834561348,58.42109406270136
58.42109406270136,58.71208997497571
58.71208997497571,61.746231904254614
61.746231904254614,61.43270622628369
61.43270622628369,62.33298982606775
62.33298982606775,57.724011779665055
57.724011779665055,57.361001404222414
57.361001404222414,58.87650800397307
58.87650800397307,57.500442455264
57.500442455264,55.76045088084561
55.76045088084561,53.38555618751976
53.38555618751976,56.79367184777168
56.79367184777168,55.40350364831766
55.40350364831766,55.53057731248524
55.53057731248524,56.6086960887706
56.6086960887706,54.904586073956494
54.904586073956494,56.003477222352835
56.003477222352835,55.08960882769745
55.08960882769745,55.02768573554699
55.02768573554699,56.84406079499957
56.84406079499957,54.865943214601714
54.865943214601714,54.80083190510804
54.80083190510804,55.7538139814259
55.7538139814259,54.02478582042647
54.02478582042647,53.35807630253129
53.35807630253129,50.88912896964752
50.88912896964752,50.49351500733492
50.49351500733492,52.20661889941216
52.20661889941216,55.75429251272766
55.75429251272766,53.58764634411524
53.58764634411524,52.70228546351528
52.70228546351528,56.06788308428073
56.06788308428073,54.280563343938894
54.280563343938894,56.58499031489852
56.58499031489852,57.27683642492151
57.27683642492151,54.5842115336741
54.5842115336741,53.50719436513686
53.50719436513686,52.539362336972296
52.539362336972296,55.003824159710824
55.003824159710824,56.630378983187036
56.630378983187036,56.74107458859484
56.74107458859484,56.11681260508903
56.11681260508903,52.51667418457409
52.51667418457409,53.96929537139919
