xi,q,w,s
-0.2718195700595982,5.905896660602539,0.0,1.3429165680923443
1.2565731801280808,-5.055092971831593,0.0,3.9631288991378946
-1.2330065231655474,5.091256766883942,0.0,1.0501207363302867
1.579660513028666,2.5970353382681988,0.0,0.9804865450629078
-1.1057348660946937,-5.018806614013847,0.0,0.30698691265760275
0.5070750081050142,-5.9555389075098475,-5.551115123125783e-17,3.5828084782855556
0.7100908053885847,-5.897152096153824,-5.551115123125783e-17,2.92557400869392
-0.5307635425451467,5.87071790591906,0.0,4.929001154097489
-0.883006501085514,-5.211766183002701,0.0,6.748329953893892
-1.5609715167672813,-0.9658873764883732,0.0,2.159189640221646
0.29194583168334864,5.780433185475406,0.0,3.871610841055422
-1.4339581009585751,-4.015222960937704,0.0,4.91084900368805
1.4518723252101498,-3.3596187228624674,0.0,6.151346740274462
1.6056554965691965,0.9889974765767446,0.0,2.9326183592453376
-1.6192744211723908,1.2137405307326574,0.0,5.2457982585883665
-0.30174733924674074,-5.864148470896469,0.0,1.7009138406281483
-1.6002786666906288,0.5029346536914182,1.3877787807814457e-17,1.554589118103246
0.5279057272705849,5.719681770190343,0.0,0.7439467681459344
-0.3978237484449132,-5.688231019954778,0.0,1.44845202643315
-1.4173947277261305,3.5855550322984593,0.0,0.09243739757321788
0.6094170461666079,5.576188877912885,0.0,2.724855731928636
-0.7672212039811979,-5.38603802659327,0.0,0.8208014736949366
0.6672486726499208,5.366171515636461,0.0,2.555318426800752
-1.3756446557953463,3.8441055091058316,0.0,3.9908467619105332
1.3822256073584223,-3.736246245227148,0.0,1.3957570870616973
-1.565892842116583,-2.9669953357974164,0.0,4.769909414018735
1.3980650378161692,-4.174956911807198,0.0,2.8529679239526793
-1.4074562456226876,4.666093133119479,5.551115123125783e-17,2.8843184636185972
1.3882882531124752,-4.952940238256638,0.0,3.528916074563129
-1.2295937498055367,5.557760235577554,0.0,2.4750698032916985
-1.5999054327317228,-2.843140221748925,0.0,0.40742011118599875
0.6432087937557066,-5.992493721952531,0.0,2.385865403294249
-1.630928711368964,-2.3074291795927633,0.0,6.868787408080807
-1.175547318845733,-4.953369540788631,0.0,4.386958890056544
-1.0585730616515696,-5.075409760376553,0.0,3.282446243572901
0.05824138127105329,5.927112926101241,0.0,3.1650205353645657
1.0007081838966332,-5.689837835937504,0.0,2.161656806823487
-1.2690701218295883,-4.523660624709138,0.0,3.870944275152629
